variant,tone_group,auc,sensitivity,specificity,n,n_pos,auc_ci_lo,auc_ci_hi,sens_ci_lo,sens_ci_hi
baseline,overall,0.6322300596852957,0.5146198830409356,0.6494845360824743,656,171,0.5816487477547757,0.6844408839045683,,
baseline,light,0.6617892439994866,0.5714285714285714,0.6226415094339622,208,49,0.5699925143115038,0.7531850499648568,0.4339240183579806,0.7000373134328356
baseline,medium,0.6870852888816961,0.5,0.688622754491018,241,74,0.612642307642722,0.7542237680209821,0.38461538461538464,0.6202640768223482
baseline,dark,0.5402253668763104,0.4791666666666667,0.6352201257861635,207,48,0.43502670517915343,0.6454720749598694,0.3333333333333333,0.6250612745098035
aug_only,overall,0.5799602098028576,0.49122807017543857,0.6597938144329897,656,171,0.5279304140987596,0.6352180566592228,,
aug_only,light,0.6137851366961878,0.6326530612244898,0.5534591194968553,208,49,0.5217536888568671,0.7045071185349474,0.4915179898899792,0.7659574468085106
aug_only,medium,0.5982359605114096,0.5,0.688622754491018,241,74,0.5139916722103137,0.6848748805910698,0.38961038961038963,0.6119402985074627
aug_only,dark,0.5082547169811321,0.3333333333333333,0.7358490566037735,207,48,0.40825069837851335,0.6097442182001004,0.2,0.46938775510204084
tone_only,overall,0.626888527159824,0.27485380116959063,0.8701030927835052,656,171,0.5746314270075499,0.6765223707217328,,
tone_only,light,0.6240533949428828,0.3673469387755102,0.7861635220125787,208,49,0.5292962490811253,0.7142215550993124,0.2333139534883721,0.5
tone_only,medium,0.660058261854669,0.24324324324324326,0.8922155688622755,241,74,0.5839347482051973,0.7332304080359,0.14812091503267974,0.34147113306576105
tone_only,dark,0.5989255765199162,0.22916666666666666,0.9308176100628931,207,48,0.49999685771744595,0.6971437899916809,0.11426948051948052,0.36
full,overall,0.6249351902092,0.3157894736842105,0.8536082474226804,656,171,0.5738329856290638,0.6804448939812688,,
full,light,0.6277756385573097,0.3469387755102041,0.7924528301886793,208,49,0.5297775409436994,0.7181458699720419,0.2127659574468085,0.47058823529411764
full,medium,0.6611102120084156,0.35135135135135137,0.9221556886227545,241,74,0.5787804868216496,0.7415227268609117,0.24357142857142858,0.46577625570776243
full,dark,0.5862159329140462,0.22916666666666666,0.8427672955974843,207,48,0.4902724277818371,0.6803460430584318,0.11627906976744186,0.3513638638638638
